Sl No,Bus Stop Name,New Km,Sem Fees,Route,R.No
177,KARIYAMANICKAM 1,41,9250,COLLEGE TO THIRUPPANJEELI,17
178,KARIYAMANICKAM 2,42,9250,COLLEGE TO THIRUPPANJEELI,17
179,KARTHIGAIPATTI,5,3500,COLLEGE TO KATTUPUTHUR,40
180,KARUKUDI,53,10250,COLLEGE TO KARUGUDI,32
181,KARUNGAL PALAYAM,40,8750,COLLEGE TO RASIPURAM,5
182,KARUNGAL THOTTAM,20,6500,"COLLEGE TO MELUR, KIDARAM",39
183,"KARUNGALAPPALLI,GUDALUR",26,7750,COLLEGE TO NACHALUR,19
184,KARUPPANNANMEDU,47,9750,COLLEGE TO NACHALUR,19
185,KARUPPATHUR,26,7750,COLLEGE TO LALAPET,41
186,KARUR,41,9250,COLLEGE to KARUR,25
187,KASTHURIPATTI,22,7500,COLLEGE TO VELAMPATTI,35
188,KATTALAI,25,7500,COLLEGE to KARUR,25
189,KATTIPALAYAM,49,9750,COLLEGE TO KANDHAMPALAYAM,4
190,KATTOOR,19,6500,   COLLEGE TO KODANGIPATTI,46
191,KATTUPUTHUR BUS STAND,20,6500,COLLEGE TO SRIRAMASAMUTHIRAM,43
192,KATTUR,17,6500,     COLLEGE TO MAHADHANAPURAM,42
193,KATTUR (1),72,11250,COLLEGE TO BHEL,1
194,KAVAKARAPATTI,13,5500,COLLEGE TO VELAMPATTI,35
195,KAVALKARAPALAYAM,34,8250,COLLEGE TO SOMARASAMPETTAI,3
196,KAVETTIPATTI,32,8250,COLLEGE TO  PANDAMANGALAM,8
197,KAVIERY FEEDS (36),22,7500,              COLLEGE TO S.P.PUTHUR,36
198,KEAL PARALI,22,7500,COLLEGE TO KONDICHETTIPATTI,31
199,KEEL NANGAVARAM,43,9250,COLLEGE TO ETTARAI,15
200,KEELA PANJAPATTI,47,9750,COLLEGE TO PANJAPPATTI,29
201,KEERAMBUR,38,8750,COLLEGE TO  PANDAMANGALAM,8
202,KELA KUTTAI,50,9750,COLLEGE TO THIRUMALAI PATTI,14
203,KELA PALAPATTI,43,9250,COLLEGE TO PALAPATTI,24
204,KELA VATHIYAM,21,7500,COLLEGE TO LALAPET,41
205,KELAKARAIKADU,7,4500,COLLEGE TO KATTUPUTHUR,40
206,"KIDARAM,KUNNAGALPALAYAM",26,7750,"COLLEGE TO MELUR, KIDARAM",39
207,KILANGU MILL,55,10250,COLLEGE TO BELUKURICHI,10
208,KILAVALADI,59,10500,COLLEGE TO ANBIL,2
209,KILIYANALLUR,42,9250,COLLEGE TO MANACHANALLUR,9
210,KIRAIYUR,31,8250,COLLEGE TO PALAPATTI,24
211,KIZHINCHANATHAM,11,5500,COLLEGE TO ARANGOOR,50
212,KMC,59,10500,COLLEGE TO SOMARASAMPETTAI,3
213,KODANGIPATTI,21,7500,   COLLEGE TO KODANGIPATTI,46
214,KODIYALAM,41,9250,COLLEGE TO BHEL,1
215,KODIYAMANGALAM,15,5500,COLLEGE TO IRUMPOOTHIPATTI,34
216,KOHINOOR THEATRE,56,10500,COLLEGE TO SOMARASAMPETTAI,3
217,KOLAGUDI PATTI,16,6500,                   COLLEGE TO KOLAKUDI,48
218,KOLAKKATTUPUTHUR,60,10500,COLLEGE TO  PANDAMANGALAM,8
219,KOLAKUDI,13,5500,                   COLLEGE TO KOLAKUDI,48
220,KOLAKUDI SCHOOL,14,5500,                   COLLEGE TO KOLAKUDI,48
221,KOLARAM,63,10750,COLLEGE TO KANDHAMPALAYAM,4
222,KOMARAGOUNDAM PUTHUR,38,8750,COLLEGE TO THIRUMALAI PATTI,14
223,KONDAMPATTI MEDU,36,8750,COLLEGE TO CINNAKARAVALLI,12
224,KONDAMPATTI PRIVU,40,8750,COLLEGE TO THIRUMALAI PATTI,14
225,KONDICHETTIPATTI,36,8750,COLLEGE TO KONDICHETTIPATTI,31
226,KONERI PATTI,66,11000,COLLEGE TO RASIPURAM,5
227,KONERIPATTI,50,9750,COLLEGE TO METTUPALAYAM,16
228,KONGUNADU SCHOOL,45,9250,COLLEGE TO KANDHAMPALAYAM,4
229,KONNAPPAMPTTY,39,8750,COLLEGE TO VALASIRAMANI,23
230,KONUR KANDHAPALYAM,40,8750,COLLEGE TO  PANDAMANGALAM,8
231,KOOLI PATTI,33,8250,COLLEGE TO SEVEYAMPALAYAM,27
232,KOONDRANGANPATTI,14,5500,COLLEGE TO KATTUPUTHUR,40
233,KOPPU PALAM,51,10250,COLLEGE TO ETTARAI,15
234,KOSAVAMPATTI,8,4500,              COLLEGE TO KOSAVAMPATTI,49
235,KOSAVAMPATTI (NKL),30,7750,COLLEGE TO SEVEYAMPALAYAM,27
236,KOTHAM PATTI,44,9250,"COLLEGE TO KANNANUR,THURAIYUR",28
237,KOTTA PATTY,54,10250,COLLEGE TO MANAPARAI,7
238,KOTTAMEDU,22,7500,COLLEGE TO IRUMPOOTHIPATTI,34
239,KOTTAYAR THOTTAM,35,8250,COLLEGE TO INUNGUR,26
240,KOTTUR,31,8250,COLLEGE TO THIRUPPANJEELI,17
241,KOTTUR,39,8750,COLLEGE TO SOUTH SITHAMPUR,22
242,KRISHNAPURAM,8,4500,COLLEGE TO PAPPAPATTI,47
243,KRISHNAPURAM(20),38,8750,COLLEGE TO ARAICHI,20
244,KRISHNARAYAPURAM,22,7500,     COLLEGE TO MAHADHANAPURAM,42
245,KUDIL,48,9750,COLLEGE TO THURAIYUR,18
246,KULATHUPALAYAM,13,5500,"COLLEGE TO MELUR, KIDARAM",39
247,KULITHALAI BUS STAND,21,7500,COLLEGE TO INUNGUR,26
248,KULITHALAI PERIYA PALAM,22,7500,COLLEGE TO INUNGUR,26
249,KULLAMPALAYAM,55,10250,COLLEGE TO KANDHAMPALAYAM,4
250,KULLAMPATTI,53,10250,COLLEGE TO PANJAPPATTI,29
251,KUMARAENDI PALAYAM,59,10500,COLLEGE TO KANDHAMPALAYAM,4
252,KUMARAMANGALAM  3 ROAD,29,7750,COLLEGE TO NACHALUR,19
253,KUMARIPALAYAM,26,7750,COLLEGE TO MOHANUR,38
254,KUNAKGOUNDAMPATTI,42,9250,COLLEGE TO THOGAIMALAI,21
255,KUPPACHIPATTI,34,8250,COLLEGE TO THOGAIMALAI,21
256,KUPPAMPALAYAM,23,7500,              COLLEGE TO S.P.PUTHUR,36
257,KUPPANAICKANOOR,43,9250,COLLEGE TO KARAVALLI,11
258,KUPUREDDIPATTI ,38,8750,COLLEGE TO NACHALUR,19
259,KURUVAM PATTI,45,9250,COLLEGE TO KURUVAMPATTI,13
260,KUTTAPATTI,23,7500,COLLEGE TO IRUMPOOTHIPATTI,34
261,LALAPET,28,7750,COLLEGE TO LALAPET,41
262,LALGUDI,65,10750,COLLEGE TO ANBIL,2
263,LATHTHUVADI,30,7750,COLLEGE TO KONDICHETTIPATTI,31
264,LIGHT HOUSE,39,8750,COLLEGE to KARUR,25
265,LRS PALAM,21,7500,COLLEGE TO LALAPET,41
266,M.KALATHUR,11,5500,COLLEGE TO SRIRAMASAMUTHIRAM,43
267,M.MANGALAM,7,4500,COLLEGE TO KARUGUDI,32
268,M.METTUPATTI,14,5500,COLLEGE TO THOPUR,37
269,M.N.PATTI,9,4500,COLLEGE TO SRIRAMASAMUTHIRAM,43
270,M.PUTHUR,11,5500,COLLEGE TO KATTUPUTHUR,40
271,MAANPIDIMANGALAM,48,9750,COLLEGE TO ANBIL,2
272,MADHA KOVIL   GANDHIPURAM,43,9250,COLLEGE TO BELUKURICHI,10
273,MAGALIPATTI,56,10500,COLLEGE TO MANAPARAI,7
274,MAHA DEVI,50,9750,COLLEGE TO KARUGUDI,32
275,MAHADHANAPURAM,25,7500,     COLLEGE TO MAHADHANAPURAM,42
276,MAHARISHI NAGAR,34,8250,COLLEGE TO KONDICHETTIPATTI,31
277,MAILADI ,25,7500,COLLEGE TO IRUMPOOTHIPATTI,34
278,MAJITH (NAMAKKAL),29,7750,COLLEGE TO THIRUMALAI PATTI,14
279,MALAI VEPPANKUTTAI,51,10250,COLLEGE TO BELUKURICHI,10
280,MALAR HOSPITAL,30,7750,COLLEGE TO MOHANUR,38
281,MALLUMASI PATTI,28,7750,COLLEGE TO THOPUR,37
282,MANAMEDU,11,5500,COLLEGE TO KARUGUDI,32
283,MANAPALAYAM,43,9250,COLLEGE TO SOUTH SITHAMPUR,22
284,MANAPALLI,35,8250,COLLEGE TO PALAPATTI,24
285,MANAPPARAI,62,10750,COLLEGE TO MANAPARAI,7
286,MANATHATTAI,20,6500,COLLEGE TO LALAPET,41
287,MANCHAMEDU,22,7500,COLLEGE TO SRIRAMASAMUTHIRAM,43
288,MANDURAI,60,10500,COLLEGE TO ANBIL,2
289,MANGARAPETTAI,24,7500,COLLEGE TO THIRUPPANJEELI,17
290,MANIKKAM PALAYAM,52,10250,COLLEGE TO KANDHAMPALAYAM,4
291,MANIYANUR,67,11000,COLLEGE TO KANDHAMPALAYAM,4
292,MANJAKORAI,37,8750,COLLEGE TO THIRUPPANJEELI,17
293,MANNACHANALLUR,57,10500,COLLEGE TO MANACHANALLUR,9
294,MARURPATTI,37,8750,COLLEGE TO THIRUMALAI PATTI,14
295,MARUTHA KALAI AMMAN KOVIL,6,4500,COLLEGE TO ARANGOOR,50
296,MARUTHAMPATTI,17,6500,"COLLEGE TO MELUR, KIDARAM",39
297,MARUTHUR,28,7750,COLLEGE TO INUNGUR,26
298,MATHIPATTI,31,8250,COLLEGE TO PANJAPPATTI,29
299,MAVALIPATTI,35,8250,COLLEGE TO ARAICHI,20
300,MAVALIPATTI (41),21,7500,COLLEGE TO SRIRAMASAMUTHIRAM,43
301,MAYANUR,16,6500,COLLEGE to KARUR,25
302,MAYANUR BUS STAND,17,6500,COLLEGE to KARUR,25
303,MAYILADUM PARAI,31,8250,COLLEGE TO NACHALUR,19
304,MEAL PARALI,23,7500,COLLEGE TO KONDICHETTIPATTI,31
305,MEDU MAHADHANAPURAM,26,7750,     COLLEGE TO MAHADHANAPURAM,42
306,MEL NANGAVARAM,40,8750,COLLEGE TO ETTARAI,15
307,MELA  KARAKADU,8,4500,COLLEGE TO KATTUPUTHUR,40
308,MELA KOTTAM,24,7500,COLLEGE TO VALASIRAMANI,23
309,MELA VELLOOR,27,7750,COLLEGE TO THIRUPPANJEELI,17
310,MELAGURAPALAYAM,22,7500,COLLEGE TO LALAPET,41
311,MELAPPATTI,49,9750,COLLEGE TO ETTARAI,15
312,MELAVALADI,58,10500,COLLEGE TO ANBIL,2
313,MELUR,37,8750,COLLEGE TO VALASIRAMANI,23
314,MELUR,27,7750,"COLLEGE TO MELUR, KIDARAM",39
315,METTU MARUTHUR  4 ROAD,27,7750,COLLEGE TO NACHALUR,19
316,METTUPALAYAM,46,9750,COLLEGE TO METTUPALAYAM,16
317,METTUPATTI,28,7750,COLLEGE TO PANJAPPATTI,29
318,METTUPATTI,22,7500,COLLEGE TO KARUGUDI,32
319,METTUPATTI (21),45,9250,COLLEGE TO THOGAIMALAI,21
320,MEYYAMPATTI,57,10500,COLLEGE TO PACHAPERUMALPATTI,6
321,MINNAMPALLI,45,9250,COLLEGE TO THIRUMALAI PATTI,14
322,MOHANUR,28,7750,COLLEGE TO MOHANUR,38
323,MOHANUR BUS STAND,31,8250,COLLEGE TO PALAPATTI,24
324,MOHANUR G.H,30,7750,COLLEGE TO PALAPATTI,24
325,MOHANUR HIGH SCHOOL,29,7750,COLLEGE TO PALAPATTI,24
326,MOHANUR KADAI VEETHI,27,7750,COLLEGE TO MOHANUR,38
327,MOONKILTHURAI,12,5500,COLLEGE TO KATTUPUTHUR,40
328,MUDALAIPATTI,37,8750,COLLEGE TO RASIPURAM,5
329,MUDALAIPATTI BYEPASS,38,8750,COLLEGE TO RASIPURAM,5
330,MULLIPADI,17,6500,                   COLLEGE TO KOLAKUDI,48
331,MUNIYANDIPALAYAM,58,10500,COLLEGE TO  PANDAMANGALAM,8
332,MURUGAN KOVIL,35,8250,COLLEGE TO RASIPURAM,5
333,MURUGAN KOVIL MEDU,13,5500,COLLEGE TO PALAYAPALAYAM,30
334,MURUGU VINAYAGAR STREET,21,7500,COLLEGE TO SOUTH SITHAMPUR,22
335,MURUNGAI,16,6500,"COLLEGE TO MELUR, KIDARAM",39
336,MURUNGAPETTAI,50,9750,COLLEGE TO BHEL,1
337,MUSAL NAIKKANPALAYAM,70,11000,COLLEGE TO KANDHAMPALAYAM,4
338,MUSIRI KAIKATTI,20,6500,COLLEGE TO SOUTH SITHAMPUR,22
339,MUSIRI PALAM,17,6500,COLLEGE TO KARUGUDI,32
340,MUSIRI ROUNDANA,19,6500,COLLEGE TO 4 TH MAIL,33
341,MUSIRI TALUK OFFICE,20,6500,COLLEGE TO MANACHANALLUR,9
342,MUTHAMIL NAGAR,54,10250,COLLEGE TO ANBIL,2
343,MUTHAMPATTI,23,7500,COLLEGE TO KARUGUDI,32
344,MUTHARASANALLUR,49,9750,COLLEGE TO SOMARASAMPETTAI,3
345,MUTHUGAPATTI,37,8750,COLLEGE TO CINNAKARAVALLI,12
346,MUTHUR,37,8750,COLLEGE TO PALAPATTI,24
347,MUTTANCHETTI,17,6500,COLLEGE TO VELAMPATTI,35
348,NACHALUR,49,9750,COLLEGE TO NACHALUR,19
349,NACHAMPATTI,31,8250,COLLEGE TO SOUTH SITHAMPUR,22
350,NACHIPUTHUR,50,9750,COLLEGE TO KARAVALLI,11
351,NADAKKAPATTI,49,9750,COLLEGE TO MANAPARAI,7
352,NADARCOLONY,33,8250,COLLEGE TO METTUPALAYAM,16
353,NADUKOMBAI,54,10250,COLLEGE TO KARAVALLI,11
354,NADUPATTI,30,7750,COLLEGE TO NACHALUR,19
355,NADUPATTI (Onthampatti),46,9750,COLLEGE TO NACHALUR,19
356,NAGAINALLUR,14,5500,COLLEGE TO SRIRAMASAMUTHIRAM,43
357,NAGARAJAPURAM,24,7500,              COLLEGE TO S.P.PUTHUR,36
358,NALLAIYAN PUTHUR,32,8250,COLLEGE TO KONDICHETTIPATTI,31
359,NALLAKUMARANPALAYAM,57,10500,COLLEGE TO KANDHAMPALAYAM,4
360,NALLAYAM PATTI,26,7750,COLLEGE TO THOPUR,37
361,NALLIPALAYAM,32,8250,COLLEGE TO KANDHAMPALAYAM,4
362,NALLUR & KING COLLEGE,21,7500,              COLLEGE TO S.P.PUTHUR,36
363,NAMAKKAL,29,7750,COLLEGE TO CINNAKARAVALLI,12
364,NANJUNDAPURAM,45,9250,COLLEGE TO KARAVALLI,11
365,NARASIMMAN KADU,53,10250,COLLEGE TO BELUKURICHI,10
366,NATHAM,13,5500,COLLEGE TO KATTUPUTHUR,40
367,NAVALADIPATTI,28,7750,COLLEGE TO VELAMPATTI,35
368,NAVALADIYAN KOVIL,27,7750,COLLEGE TO MOHANUR,38
369,NAVAMARAM,35,8250,COLLEGE TO KURUVAMPATTI,13
370,NEELAYAMPATTY RICE MILL,38,8750,COLLEGE TO VALASIRAMANI,23
371,NEELIYAMPATTY MARIAMMAN KOVIL,29,7750,COLLEGE TO VALASIRAMANI,23
372,NEIKKARANPATTI,29,7750,COLLEGE TO THOPUR,37
373,NEIVELI,37,8750,COLLEGE TO KURUVAMPATTI,13
374,NERKUPAI,53,10250,COLLEGE TO MANACHANALLUR,9
375,NEW BUS STAND,20,6500,      COLLEGE TO MUSIRI NEW BUSSTAND,44
376,NINAMALAI,43,9250,COLLEGE TO THIRUMALAI PATTI,14
377,NOCHIYAM,52,10250,COLLEGE TO MANACHANALLUR,9
378,NORTH MAILADI,25,7500,COLLEGE TO IRUMPOOTHIPATTI,34
379,NORTH SITHABUR,42,9250,COLLEGE TO KURUVAMPATTI,13
380,OIL MILL,71,11250,COLLEGE TO BHEL,1
381,OLD BUS STAND MUSIRI,18,6500,COLLEGE TO KURUVAMPATTI,13
382,OLD RTO OFFICE,34,8250,COLLEGE TO RASIPURAM,5
383,OLD RTO OFFICE,46,9750,"COLLEGE TO KANNANUR,THURAIYUR",28
384,ONTHANPATTI,44,9250,COLLEGE TO NACHALUR,19
385,OODAPALAYAM PIRIVU,28,7750,COLLEGE TO PALAPATTI,24
386,OONANGAL PATTI,23,7500,COLLEGE TO THOPUR,37
387,OORAKKARAI,46,9750,COLLEGE TO KARUGUDI,32
388,ORAKADAI   GANDHIPURAM,42,9250,COLLEGE TO BELUKURICHI,10
389,ORUVANTHUR ,23,7500,COLLEGE TO MOHANUR,38
390,ORUVANTHUR PUTHUR,22,7500,COLLEGE TO MOHANUR,38
391,OTHAIUR,21,7500,COLLEGE TO KONDICHETTIPATTI,31
392,OTHAKADAI,36,8750,COLLEGE TO THOGAIMALAI,21
393,P.G.P COLLEGE ROAD,43,9250,COLLEGE TO  PANDAMANGALAM,8
394,PACHAI PERUMAL PATTI,64,10750,COLLEGE TO PACHAPERUMALPATTI,6
395,PADAMUDIPALAYAM,50,9750,COLLEGE TO  PANDAMANGALAM,8
396,PAITHAMPARAI,36,8750,COLLEGE TO ARAICHI,20
397,PAITHAMPARI PRIVU ROAD,34,8250,COLLEGE TO METTUPALAYAM,16
398,PALAKKARAI,49,9750,COLLEGE TO THURAIYUR,18
399,PALAPATTI,44,9250,COLLEGE TO PALAPATTI,24
400,PALAYAM PIRIVU,37,8750,"COLLEGE TO KANNANUR,THURAIYUR",28
401,PALAYAPALAYAM,36,8750,COLLEGE TO PALAYAPALAYAM,30
402,PALLIPALAYAM,25,7500,COLLEGE TO SRIRAMASAMUTHIRAM,43
403,PALLIPALAYAM PIRIVU ROAD,23,7500,COLLEGE TO SRIRAMASAMUTHIRAM,43
404,PALPANNAI,68,11000,COLLEGE TO BHEL,1
405,PANAMARATHU PATTI,7,4500,COLLEGE TO PAPPAPATTI,47
406,PANDAMANGALAM,59,10500,COLLEGE TO  PANDAMANGALAM,8
407,PANDIYARU,53,10250,COLLEGE TO KARAVALLI,11
408,PANJAPATTI,46,9750,COLLEGE TO PANJAPPATTI,29
409,PANNAI SALAI,15,5500,   COLLEGE TO KODANGIPATTI,46
410,PANNIKAMPATTI,32,8250,COLLEGE TO NACHALUR,19
411,PAPPAPATTI,21,7500,COLLEGE TO PAPPAPATTI,47
412,PARALI 4 ROAD,24,7500,COLLEGE TO NACHALUR,19
413,PARALI PIRIVU ROAD,28,7750,COLLEGE TO KONDICHETTIPATTI,31
414,PARAMATHI,47,9750,COLLEGE TO  PANDAMANGALAM,8
415,PASUPATHIPALAYAM PRIVU ROAD,34,8250,COLLEGE to KARUR,25
416,PATTARAI MEDU,31,8250,COLLEGE TO SEVEYAMPALAYAM,27
417,PATTATHAIYAN KUTTAI,44,9250,COLLEGE TO KARAVALLI,11
418,PATTAVARTHI,26,7750,COLLEGE TO INUNGUR,26
419,PAVITHIRAM,26,7750,COLLEGE TO VELAMPATTI,35
420,"PERAMBUR,EVOOR",29,7750,COLLEGE TO THIRUPPANJEELI,17
421,PERIYA KODUNDURAI,37,8750,COLLEGE TO SOUTH SITHAMPUR,22
422,PERIYANACHIPATTI,7,4500,COLLEGE to KARUR,25
423,PERIYAR NAGAR,24,7500,COLLEGE TO INUNGUR,26
424,PERIYAVEPPANAM,24,7500,              COLLEGE TO S.P.PUTHUR,36
425,PERUGAMANI,36,8750,COLLEGE TO BHEL,1
426,PERUMA KOVIL MEDU,48,9750,COLLEGE TO RASIPURAM,5
427,PERUMAPATTI,35,8250,COLLEGE TO SEVEYAMPALAYAM,27
428,PETTAPALAYAM,32,8250,COLLEGE TO PALAPATTI,24
429,PETTAVAITHALAI BUNK,31,8250,COLLEGE TO SOMARASAMPETTAI,3
430,PETTAVAITHALAI BUS STAND,31,8250,COLLEGE TO ETTARAI,15
431,PICHANDAVAR KOVIL,52,10250,COLLEGE TO ANBIL,2
432,PIDARAMANGALAM,14,5500,"COLLEGE TO MELUR, KIDARAM",39
433,PILLAYAR KOVIL,11,5500,COLLEGE TO THOPUR,37
434,POIGAIPUTHUR (41),24,7500,     COLLEGE TO MAHADHANAPURAM,42
435,PONNANKANIPATTI,34,8250,COLLEGE TO KURUVAMPATTI,13
436,PONNERI,24,7500,COLLEGE TO PALAYAPALAYAM,30
437,PONNERI PERIYASAMY KOVIL,25,7500,COLLEGE TO PALAYAPALAYAM,30
438,PONNERI PIRIVU,20,6500,COLLEGE TO PALAYAPALAYAM,30
439,PONNUSANGAMPATTI,36,8750,"COLLEGE TO KANNANUR,THURAIYUR",28
440,POOLANCHERI,26,7750,COLLEGE TO VALASIRAMANI,23
441,POONGA,20,6500,      COLLEGE TO MUSIRI NEW BUSSTAND,44
442,POOSARIPATTI,39,8750,COLLEGE TO KURUVAMPATTI,13
443,PORASAPALAYAM,37,8750,COLLEGE TO KANDHAMPALAYAM,4
444,POTHUPATTI COLONY,31,8250,COLLEGE TO  PANDAMANGALAM,8
445,POTTANAM,41,9250,COLLEGE TO THIRUMALAI PATTI,14
446,POTTHANUR,55,10250,COLLEGE TO  PANDAMANGALAM,8
447,POTTI REDDI PATTI ,22,7500,COLLEGE TO PALAYAPALAYAM,30
448,POTTI REDDI PATTI PIRIVU,21,7500,COLLEGE TO PALAYAPALAYAM,30
449,POYYAMANI,35,8250,COLLEGE TO ETTARAI,15
450,PSK BUNK,36,8750,COLLEGE TO RASIPURAM,5
451,PSK MILL,20,6500,   COLLEGE TO ERUMAPATTI,45
452,PUDHUCHATRAM,52,10250,COLLEGE TO RASIPURAM,5
453,PUDUKKOTTAI,28,7750,COLLEGE TO PALAYAPALAYAM,30
454,PUDUKKOTTAI PIRIVU,31,8250,COLLEGE TO PALAYAPALAYAM,30
455,PUDUPATTI,19,6500,              COLLEGE TO S.P.PUTHUR,36
456,PUDUPATTI HIGH SCHOOL,18,6500,              COLLEGE TO S.P.PUTHUR,36
457,PULAVAR PALAYAM,36,8750,COLLEGE TO  PANDAMANGALAM,8
458,PULIYUR,29,7750,COLLEGE to KARUR,25
459,PULLA GOUNDAMPATTI,53,10250,COLLEGE TO KANDHAMPALAYAM,4
460,PUTHAN SANDHAI,44,9250,COLLEGE TO RASIPURAM,5
461,PUTHU KOMBAI,38,8750,COLLEGE TO PALAYAPALAYAM,30
462,PUTHUKOTTAI,24,7500,COLLEGE to KARUR,25
463,PUTHUPALAYAM,22,7500,"COLLEGE TO MELUR, KIDARAM",39
464,PUTHUR 4 ROAD,60,10500,COLLEGE TO SOMARASAMPETTAI,3
465,R.P.PUDUR,32,8250,COLLEGE TO THIRUMALAI PATTI,14
466,R.P.PUTHUR,46,9750,COLLEGE TO CINNAKARAVALLI,12
467,RAJENDRAM,27,7750,COLLEGE TO INUNGUR,26
